"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.426725208E0,-3.935177624E-2,4.486703873E-2,-2.323512733E-2
3.436655208E0,-4.828987643E-2,1.945062727E-2,-1.840228960E-2
3.446585208E0,-4.993725941E-2,-1.607383229E-2,-1.128491759E-2
3.456515208E0,-4.390280321E-2,-4.515714943E-2,-1.377923414E-2
3.466446208E0,-2.691484429E-2,-5.727428198E-2,-1.494991686E-2
3.476376208E0,-5.101160146E-3,-6.057686731E-2,-1.531903166E-2
3.486306208E0,1.623733528E-2,-4.385186359E-2,-7.047452964E-3
3.496236208E0,2.941465564E-2,-1.698749326E-2,1.318351645E-2
3.506166208E0,3.713331372E-2,5.580179393E-3,3.129801899E-2
3.516097208E0,3.326613456E-2,1.532042492E-2,4.185532406E-2
3.526027208E0,2.346761711E-2,1.146089844E-2,3.370451182E-2
3.535957208E0,1.410820335E-2,4.106845707E-3,1.307673380E-2
3.545887208E0,7.750838064E-3,-1.174146682E-2,-1.571496017E-2
3.555818208E0,6.388364825E-3,-2.982326411E-2,-3.692490980E-2
3.565748208E0,-2.012875630E-3,-4.372516647E-2,-4.086012021E-2
3.575678208E0,-9.520060383E-3,-5.292905122E-2,-2.762447670E-2
3.585608208E0,-2.165230736E-2,-4.377477616E-2,-6.920200773E-3
3.595539208E0,-3.486265242E-2,-3.636293113E-2,1.645969041E-2
3.605469208E0,-5.261214077E-2,-2.526924573E-2,3.607486188E-2
3.615399208E0,-6.422165781E-2,-7.035912946E-3,4.329469055E-2
3.625329208E0,-6.529115885E-2,1.551175956E-3,4.735115543E-2
3.635260208E0,-5.308429897E-2,8.243166842E-3,4.568374902E-2
3.645190208E0,-3.750352189E-2,6.601615343E-3,3.732960671E-2
3.655120208E0,-2.272883989E-2,-1.053476054E-2,2.232855186E-2
3.665050208E0,-1.533276029E-2,-4.142842442E-2,-3.606702201E-3
